00933-20211013-1-LL2;MADLL2;;Delivery Point 1;JOSE ANTONIO DE ARMONA 22;MADRID;28012;ES;;;;Drop off;40.4045559,-3.695711;;;;28004;;;4;
01702-20211013-1-LL2;MADLL2;;Delivery Point 2;PEZ,25;MADRID;28004;ES;;;;Drop off;40.424059,-3.7084433;;;;28004;;;3;
02028-20211013-1-LL2;MADLL2;;Delivery Point 3;GUTEMBERG, 20;MADRID;28014;ES;;;;Drop off;40.4062808,-3.6805233;;;;28004;;;3;
03719-20211013-1-LL2;MADLL2;;Delivery Point 4;ATOCHA, 46;MADRID;28012;ES;;;;Drop off;40.4125418,-3.7018591;;;;28004;;;3;
04390-20211013-1-LL2;MADLL2;;Delivery Point 5;DUQUE DE RIVAS 3;MADRID;28012;ES;;;;Drop off;40.4125499,-3.7018591;;;;28004;;;2;
05439-20211013-1-LL2;MADLL2;;Delivery Point 6;PZA DEL EMPERADOR CARLOS V, 8;MADRID;28012;ES;;;;Drop off;40.4064443,-3.6929207;;;;28004;;;3;
05533-20211013-1-LL2;MADLL2;;Delivery Point 7;MAYOR, 88;MADRID;28013;ES;;;;Drop off;40.4151849,-3.7153767;;;;28004;;;2;
05669-20211013-1-LL2;MADLL2;;Delivery Point 8;RONDA DE ATOCHA, 24;MADRID;28012;ES;;;;Drop off;40.4064123,-3.7003575;;;;28004;;;2;
05679-20211013-1-LL2;MADLL2;;Delivery Point 9;LAVAPIES 56;MADRID;28012;ES;;;;Drop off;40.4089737,-3.7038798;;;;28004;;;3;
05739-20211013-1-LL2;MADLL2;;Delivery Point 10;CAVA BAJA 47;MADRID;28005;ES;;;;Drop off;40.4118321,-3.7124767;;;;28004;;;2;
05801-20211013-1-LL2;MADLL2;;Delivery Point 11;ATOCHA 114;MADRID;28012;ES;;;;Drop off;40.4094946,-3.6955617;;;;28004;;;4;
05924-20211013-1-LL2;MADLL2;;Delivery Point 12;HUERTAS 17;MADRID;28012;ES;;;;Drop off;40.4138318,-3.7019061;;;;28004;;;4;
05970-20211013-1-LL2;MADLL2;;Delivery Point 13;POETA ESTEBAN VILLEGAS 16;MADRID;28014;ES;;;;Drop off;40.4004258,-3.6838725;;;;28004;;;2;
05983-20211013-1-LL2;MADLL2;;Delivery Point 14;PASEO DEL PRADO 26;MADRID;28014;ES;;;;Drop off;40.4121453,-3.6955957;;;;28004;;;1;
06266-20211013-1-LL2;MADLL2;;Delivery Point 15;ARGUMOSA, 30;MADRID;28012;ES;;;;Drop off;40.4077395,-3.6994741;;;;28004;;;1;
06399-20211013-1-LL2;MADLL2;;Delivery Point 16;SEGOVIA 8;MADRID;28005;ES;;;;Drop off;40.4135665,-3.7126356;;;;28004;;;1;
06407-20211013-1-LL2;MADLL2;;Delivery Point 17;TOLEDO 171;MADRID;28005;ES;;;;Drop off;40.4025697,-3.7154575;;;;28004;;;4;
06425-20211013-1-LL2;MADLL2;;Delivery Point 18;PASEO YESERIAS 33;MADRID;28005;ES;;;;Drop off;40.3984548,-3.7104928;;;;28004;;;3;
06429-20211013-1-LL2;MADLL2;;Delivery Point 19;CALATRAVA 34;MADRID;28005;ES;;;;Drop off;40.4100321,-3.7154607;;;;28004;;;1;
06650-20211013-1-LL2;MADLL2;;Delivery Point 20;LINNEO 15;MADRID;28005;ES;;;;Drop off;40.4123731,-3.72261;;;;28004;;;4;
06761-20211013-1-LL2;MADLL2;;Delivery Point 21;RONDA DE TOLEDO 28;MADRID;28005;ES;;;;Drop off;40.4052662,-3.7077088;;;;28004;;;2;
06854-20211013-1-LL2;MADLL2;;Delivery Point 22;INFANTAS 42;MADRID;28004;ES;;;;Drop off;40.4335458,-3.7247779;;;;28004;;;3;
07018-20211013-1-LL2;MADLL2;;Delivery Point 23;C/RONDA DE SEGOVIA 44;MADRID;28005;ES;;;;Drop off;40.4074255,-3.7163611;;;;28004;;;4;
07065-20211013-1-LL2;MADLL2;;Delivery Point 24;CL. PRECIADOS 35;MADRID;28013;ES;;;;Drop off;40.4196527,-3.709379;;;;28004;;;2;
07074-20211013-1-LL2;MADLL2;;Delivery Point 25;CL. TOLEDO, 105;MADRID;28005;ES;;;;Drop off;40.409008,-3.7122928;;;;28004;;;4;
07108-20211013-1-LL2;MADLL2;;Delivery Point 26;CL. JUAN DE MENA, 11;MADRID;28014;ES;;;;Drop off;40.417398,-3.6932947;;;;28004;;;3;
07119-20211013-1-LL2;MADLL2;;Delivery Point 27;CL. MESON DE PAREDES, 8;MADRID;28012;ES;;;;Drop off;40.4114717,-3.7074222;;;;28004;;;1;
07145-20211013-1-LL2;MADLL2;;Delivery Point 28;CL. MAYOR, 13;MADRID;28013;ES;;;;Drop off;40.4162348,-3.708361;;;;28004;;;2;
07149-20211013-1-LL2;MADLL2;;Delivery Point 29;LEON N 13;MADRID;28014;ES;;;;Drop off;40.4140833,-3.6998515;;;;28004;;;4;
07320-20211013-1-LL2;MADLL2;;Delivery Point 30;GRAN VIA, 12;MADRID;28013;ES;;;;Drop off;40.4201131,-3.7039833;;;;28004;;;2;
07329-20211013-1-LL2;MADLL2;;Delivery Point 31;SAGASTA, 5;MADRID;28004;ES;;;;Drop off;40.4287838,-3.7020775;;;;28004;;;4;
07344-20211013-1-LL2;MADLL2;;Delivery Point 32;BARQUILLO, 31;MADRID;28004;ES;;;;Drop off;40.4232448,-3.6978191;;;;28004;;;2;
07349-20211013-1-LL2;MADLL2;;Delivery Point 33;PLAZA DE LA MARINA ESPAÑOLA, 6;MADRID;28013;ES;;;;Drop off;40.4185432,-3.7158845;;;;28004;;;1;
07470-20211013-1-LL2;MADLL2;;Delivery Point 34;PASEO DE LA ESPERANZA, 2;MADRID;28005;ES;;;;Drop off;40.4036351,-3.7087365;;;;28004;;;4;
07529-20211013-1-LL2;MADLL2;;Delivery Point 35;HORTALEZA, 44;MADRID;28004;ES;;;;Drop off;40.4221738,-3.7016898;;;;28004;;;1;
07530-20211013-1-LL2;MADLL2;;Delivery Point 36;COLON, 6;MADRID;28004;ES;;;;Drop off;40.4255835,-3.6998919;;;;28004;;;4;
07534-20211013-1-LL2;MADLL2;;Delivery Point 37;AUGUSTO FIGUEROA, 39;MADRID;28004;ES;;;;Drop off;40.4221341,-3.6992722;;;;28004;;;4;
08689-20211013-1-LL2;MADLL2;;Delivery Point 38;TOLEDO, 46;MADRID;28005;ES;;;;Drop off;40.4123853,-3.7101368;;;;28004;;;3;
08987-20211013-1-LL2;MADLL2;;Delivery Point 39;FERNANDO VI, 29;MADRID;28004;ES;;;;Drop off;40.4244148,-3.6973449;;;;28004;;;3;
10194-20211013-1-LL2;MADLL2;;Delivery Point 40;PLAZA SAN MIGUEL, 8;MADRID;28005;ES;;;;Drop off;40.417058,-3.7063275;;;;28004;;;1;
10297-20211013-1-LL2;MADLL2;;Delivery Point 41;FUENCARRAL, 83;MADRID;28004;ES;;;;Drop off;40.4261333,-3.7034882;;;;28004;;;3;
10408-20211013-1-LL2;MADLL2;;Delivery Point 42;PLAZA COLON 1, CENTRO COLON;MADRID;28004;ES;;;;Drop off;40.4249239,-3.6934118;;;;28004;;;2;
10423-20211013-1-LL2;MADLL2;;Delivery Point 43;CARRETAS 12;MADRID;28012;ES;;;;Drop off;40.4152047,-3.7054981;;;;28004;;;4;
10687-20211013-1-LL2;MADLL2;;Delivery Point 44;HORTALEZA 66;MADRID;28004;ES;;;;Drop off;40.4229738,-3.701224;;;;28004;;;1;
11522-20211013-1-LL2;MADLL2;;Delivery Point 45;PASEO DE LA VIRGEN DEL PUERTO 49;MADRID;28005;ES;;;;Drop off;40.4088222,-3.7297871;;;;28004;;;2;
20029-20211013-1-LL2;MADLL2;;Delivery Point 46;ALCALA, 54;MADRID;28014;ES;;;;Drop off;40.4195708,-3.6930343;;;;28004;;;1;
20036-20211013-1-LL2;MADLL2;;Delivery Point 47;ESPOZ Y MINA 9;MADRID;28012;ES;;;;Drop off;40.4155947,-3.7044465;;;;28004;;;1;
20084-20211013-1-LL2;MADLL2;;Delivery Point 48;RIBERA DE CURTIDORES 37;MADRID;28005;ES;;;;Drop off;40.4064777,-3.7091016;;;;28004;;;2;
20099-20211013-1-LL2;MADLL2;;Delivery Point 49;C/ CARMEN COBEÑA, 5;MADRID;28005;ES;;;;Drop off;40.3994983,-3.715092;;;;28004;;;1;
20105-20211013-1-LL2;MADLL2;;Delivery Point 50;C/ PRECIADOS, 14;MADRID;28013;ES;;;;Drop off;40.4180811,-3.7067937;;;;28004;;;3;
20108-20211013-1-LL2;MADLL2;;Delivery Point 51;C/ DE LOS JARDINES, 11;MADRID;28013;ES;;;;Drop off;40.4189922,-3.7032187;;;;28004;;;3;
20130-20211013-1-LL2;MADLL2;;Delivery Point 52;BAILEN, 16;MADRID;28005;ES;;;;Drop off;40.4125362,-3.7161217;;;;28004;;;1;
20133-20211013-1-LL2;MADLL2;;Delivery Point 53;DEL PRINCIPE, 15;MADRID;28012;ES;;;;Drop off;40.4154734,-3.7024105;;;;28004;;;2;
20139-20211013-1-LL2;MADLL2;;Delivery Point 54;CALLE DEL LAUREL, 23;MADRID;28005;ES;;;;Drop off;40.4027001,-3.7066252;;;;28004;;;4;
20143-20211013-1-LL2;MADLL2;;Delivery Point 55;FUCAR, 10;MADRID;28014;ES;;;;Drop off;40.4117541,-3.6978639;;;;28004;;;1;
20193-20211013-1-LL2;MADLL2;;Delivery Point 56;PLAZA DE PUERTA CERRADA, 5;MADRID;28005;ES;;;;Drop off;40.4137179,-3.7107137;;;;28004;;;1;
20196-20211013-1-LL2;MADLL2;;Delivery Point 57;HORTALEZA, 96;MADRID;28004;ES;;;;Drop off;40.4246403,-3.7000745;;;;28004;;;1;
20207-20211013-1-LL2;MADLL2;;Delivery Point 58;GLORIETA DE EMBAJADORES, 5;MADRID;28012;ES;;;;Drop off;40.4054375,-3.7117149;;;;28004;;;2;
20213-20211013-1-LL2;MADLL2;;Delivery Point 59;PLAZA DE LOS HERRADORES, 2;MADRID;28013;ES;;;;Drop off;40.4163468,-3.7106872;;;;28004;;;4;
20225-20211013-1-LL2;MADLL2;;Delivery Point 60;ARGUMOSA, 19;MADRID;28012;ES;;;;Drop off;40.4081916,-3.7006894;;;;28004;;;1;
20253-20211013-1-LL2;MADLL2;;Delivery Point 61;PLAZA DE CASCORRO, 6;MADRID;28005;ES;;;;Drop off;40.410438,-3.7093006;;;;28004;;;4;
20259-20211013-1-LL2;MADLL2;;Delivery Point 62;SAGASTA, 21;MADRID;28004;ES;;;;Drop off;40.4286222,-3.7009956;;;;28004;;;1;
20285-20211013-1-LL2;MADLL2;;Delivery Point 63;CUCHILLEROS, 12;MADRID;28005;ES;;;;Drop off;40.4178926,-3.7131237;;;;28004;;;1;
20300-20211013-1-LL2;MADLL2;;Delivery Point 64;GENERAL CASTAÑOS, 13;MADRID;28004;ES;;;;Drop off;40.4260287,-3.6959543;;;;28004;;;2;
20318-20211013-1-LL2;MADLL2;;Delivery Point 65;PASEO DE LOS OLMOS, 18;MADRID;28005;ES;;;;Drop off;40.4045814,-3.7132448;;;;28004;;;3;
20341-20211013-1-LL2;MADLL2;;Delivery Point 66;MAGDALENA, 33;MADRID;28012;ES;;;;Drop off;40.412439,-3.7003282;;;;28004;;;2;
20366-20211013-1-LL2;MADLL2;;Delivery Point 67;MONTERA, 9;MADRID;28013;ES;;;;Drop off;40.4176689,-3.7051244;;;;28004;;;1;
20388-20211013-1-LL2;MADLL2;;Delivery Point 68;BAÑOS DE MONTEMAYOR, 4;MADRID;28005;ES;;;;Drop off;40.3983301,-3.7055897;;;;28004;;;2;
20451-20211013-1-LL2;MADLL2;;Delivery Point 69;SEBASTIAN HERRERA, 16;MADRID;28012;ES;;;;Drop off;40.4039866,-3.7009636;;;;28004;;;4;
20455-20211013-1-LL2;MADLL2;;Delivery Point 70;PASEO DE PONTONES, 27;MADRID;28005;ES;;;;Drop off;40.4125599,-3.7319747;;;;28004;;;2;
20507-20211013-1-LL2;MADLL2;;Delivery Point 71;RONDA DE SEGOVIA, 47;MADRID;28005;ES;;;;Drop off;40.4126226,-3.7319747;;;;28004;;;2;
20519-20211013-1-LL2;MADLL2;;Delivery Point 72;GIL IMON, 10 LOCAL 2;MADRID;28005;ES;;;;Drop off;40.407234,-3.7167163;;;;28004;;;2;
20549-20211013-1-LL2;MADLL2;;Delivery Point 73;ESPIRITU SANTO, 10;MADRID;28004;ES;;;;Drop off;40.4252412,-3.7049105;;;;28004;;;3;
20606-20211013-1-LL2;MADLL2;;Delivery Point 74;LOS MADRAZO, 1;MADRID;28014;ES;;;;Drop off;40.4175422,-3.7005188;;;;28004;;;4;
20685-20211013-1-LL2;MADLL2;;Delivery Point 75;PLAZA DOS DE MAYO, 6;MADRID;28004;ES;;;;Drop off;40.4273819,-3.7063376;;;;28004;;;4;
20738-20211013-1-LL2;MADLL2;;Delivery Point 76;MAYOR, 59;MADRID;28013;ES;;;;Drop off;40.4155789,-3.7119645;;;;28004;;;3;
20898-20211013-1-LL2;MADLL2;;Delivery Point 77;VERGARA, 12;MADRID;28013;ES;;;;Drop off;40.4155989,-3.7185306;;;;28004;;;4;
20917-20211013-1-LL2;MADLL2;;Delivery Point 78;MARQUES DE CUBAS 16;MADRID;28014;ES;;;;Drop off;40.4164466,-3.6980707;;;;28004;;;4;
20984-20211013-1-LL2;MADLL2;;Delivery Point 79;MORETO,15;MADRID;28014;ES;;;;Drop off;40.4131429,-3.692348;;;;28004;;;1;
21019-20211013-1-LL2;MADLL2;;Delivery Point 80;MELILLA 35;MADRID;28005;ES;;;;Drop off;40.4020631,-3.7173936;;;;28004;;;4;
21027-20211013-1-LL2;MADLL2;;Delivery Point 81;CALLE SAN EPIFANIO,7;MADRID;28005;ES;;;;Drop off;40.4013212,-3.7209338;;;;28004;;;3;
21067-20211013-1-LL2;MADLL2;;Delivery Point 82;PASEO DE LA REINA CRISTINA, 14;MADRID;28014;ES;;;;Drop off;40.4013566,-3.7362547;;;;28004;;;3;
21070-20211013-1-LL2;MADLL2;;Delivery Point 83;VENERAS, 4;MADRID;28013;ES;;;;Drop off;40.4193782,-3.7096026;;;;28004;;;2;
21132-20211013-1-LL2;MADLL2;;Delivery Point 84;GRAN VIA, 26;MADRID;28013;ES;;;;Drop off;40.4201653,-3.7035042;;;;28004;;;2;
21150-20211013-1-LL2;MADLL2;;Delivery Point 85;AVE MARIA, 31;MADRID;28012;ES;;;;Drop off;40.4101183,-3.703069;;;;28004;;;4;
21185-20211013-1-LL2;MADLL2;;Delivery Point 86;TOLEDO, 134;MADRID;28005;ES;;;;Drop off;40.4045519,-3.7151217;;;;28004;;;3;
21196-20211013-1-LL2;MADLL2;;Delivery Point 87;MAYOR, 44;MADRID;28013;ES;;;;Drop off;40.4160372,-3.7110652;;;;28004;;;4;
21202-20211013-1-LL2;MADLL2;;Delivery Point 88;SANTA ISABEL, 7;MADRID;28012;ES;;;;Drop off;40.4111751,-3.7006815;;;;28004;;;2;
21236-20211013-1-LL2;MADLL2;;Delivery Point 89;C/JUAN DUQUE, 30;MADRID;28005;ES;;;;Drop off;40.4109412,-3.7218135;;;;28004;;;2;
21248-20211013-1-LL2;MADLL2;;Delivery Point 90;VIRGEN DE LOS PELIGROS, 11;MADRID;28013;ES;;;;Drop off;40.418974,-3.7019634;;;;28004;;;3;